"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C51,C45";"C_0402_1005Metric";2;"1u";;;
2;"C50,C48,C66,C63,C65,C70,C102,C101,C62,C64,C2,C61,C67,C27,C6,C5,C9,C4,C25,C29,C28,C69,C21,C31,C30,C68,C22,C19,C20,C24,C23,C26,C13,C16,C38,C7,C14,C42,C87,C18,C3,C37,C41,C8,C15,C17";"C_0201_0603Metric";46;"100n";;;
3;"C76,C71,C75,C74,C72,C73";"C_1206_3216Metric";6;"4.7u";;;
4;"C53";"C_0603_1608Metric";1;"47n";;;
5;"C52,C100,C10,C11,C32,C34,C33,C43,C35,C39";"C_0201_0603Metric";10;"1u";;;
6;"C55,C47,C104,C97,C60,C58,C57,C59";"C_0201_0603Metric";8;"1.8n";;;
7;"FB3,FB1,FB2";"R_0603_1608Metric";3;"220";;;
8;"R1,R52,R30,R54,R8,R9,R10,R25,R35,R33,R34,R32,R11,R29,R12,R36,R26,R31,R6";"R_0201_0603Metric";19;"10k";;;
9;"U13,U14";"QFN-10_2x2mm_P0.5mm";2;"MPM3804GG-Z";;;
10;"R27,R16,R19";"FC4L32";3;"0.005";;;
11;"U5";"UQFN-10_1.5x2mm_P0.5mm";1;"TS3USB221E";;;
12;"Q1,Q2,Q3";"VSON_CLIP_22";3;"CSD88599Q5DC";;;
13;"R43,R44,R49,R46,R48,R40,R41";"R_0201_0603Metric";7;"100k";;;
14;"R15,R18,R21";"R_0805_2012Metric";3;"4.7";;;
15;"R50";"R_0201_0603Metric";1;"6.84k";;;
16;"U7";"Bosch_LGA-16_4.5x3.0mm_P0.5mm";1;"BMI088";;;
17;"R37,R51,R24,R13,R14,R23,R22,R4";"R_0201_0603Metric";8;"120";;;
18;"R53";"R_0201_0603Metric";1;"6.22k";;;
19;"U4";"SOT-23-8";1;"TCAN3414";;;
20;"R45";"R_0201_0603Metric";1;"13.7k";;;
21;"Q4";"Diodes_DFN1006-3";1;"NX7002BKM";;;
22;"C49,C91,C90,C92,C89";"C_0603_1608Metric";5;"10u";;;
23;"D6";"LED_0402_1005Metric";1;"LED GREEN";;;
24;"U12";"uSIP_11";1;"TPSM8290x";;;
25;"J3";"SAMTEC_CLP-104-02-L-D-BE";1;"SAMTEC_CLP_02x04_SMD";;;
26;"R2,R3,R5,R7";"R_0201_0603Metric";4;"10";;;
27;"X1";"TCXO_SMD_Ecs_TXO-2016-4Pin_2.0x1.6mm";1;"ECS-TXO-2016";;;
28;"C93,C99,C96,C94,C44,C98,C95,C40,C36,C12";"C_0402_1005Metric";10;"10u";;;
29;"U1";"NFBGA_337";1;"TMS320F28388D";;;
30;"U15";"TSOT-23-6";1;"LT6654AIS6-3";;;
31;"D5,D4";"NeoPixel_SK6805_1.5x1.5mm";2;"NeoPixel_1515";;;
32;"D2,D7,D1";"D_0201_0603Metric";3;"TPD1E04U04";;;
33;"U2";"QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm";1;"DRV8353S";;;
34;"C88";"C_0603_1608Metric";1;"100n";;;
35;"SW1";"SW_SPST_B3U-1000P-B";1;"B3U-1000P-B";;;
36;"R47";"R_0201_0603Metric";1;"22.1k";;;
37;"TP1";"TestPoint_Keystone_5015_Micro-Minature";1;"GND";;;
38;"U16";"SOT-353_SC-70-5";1;"OPA333xxDCK";;;
39;"C103,C1";"C_0201_0603Metric";2;"220n";;;
40;"C82,C83,C77,C86,C84,C85,C81,C79,C80,C78";"C_1210_3225Metric";10;"10u";;;
41;"C54,C46,C56";"C_0402_1005Metric";3;"4.7n";;;
42;"R20,R28,R17";"R_0805_2012Metric";3;"2.2";;;
43;"R38";"R_0402_1005Metric";1;"100k";;;
44;"U8";"SOT886_USON_6_1.45x1.0mm_P0.5mm";1;"74LVC1G17";;;
45;"R42";"R_0201_0603Metric";1;"9.09k";;;
46;"R39";"R_0402_1005Metric";1;"5.1k";;;
47;"U9";"WSON-6_1.5x1.5mm_P0.5mm";1;"TPS3703-3.3";;;
48;"U10";"WSON-6_1.5x1.5mm_P0.5mm";1;"TPS3703-1.2";;;
49;"J2";"Molex_FBH1_FFC_FPC_503480-2000_1x20-2MP_P0.50mm_Horizontal";1;"conn_01x20_MountingPins";;;
50;"D3";"TI_X2SON-3_1.3x0.6mm_P1.0mm";1;"ESD122";;;
51;"U6";"VSON-8-1EP_3.0x3.0mm_P0.65mm_EP1.65x2.4mm";1;"THVD2450";;;
52;"U11";"B3QFN_15";1;"TPSM560R6H";;;
53;"U3";"TSSOP-14_4.4x5mm_P0.65mm";1;"AS5047U";;;
