Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0201_0603Metric",-8.680000,30.300000,180.000000,bottom
"C2","100n","C_0201_0603Metric",11.200000,29.000000,180.000000,bottom
"C3","100n","C_0201_0603Metric",16.000000,26.600000,90.000000,bottom
"C4","100n","C_0201_0603Metric",15.200000,26.600000,90.000000,bottom
"C5","100n","C_0201_0603Metric",8.000000,25.000000,-90.000000,bottom
"C6","100n","C_0201_0603Metric",16.000000,23.400000,-90.000000,bottom
"C7","100n","C_0201_0603Metric",8.000200,21.800000,-90.000000,bottom
"C8","100n","C_0201_0603Metric",14.400000,21.800000,180.000000,bottom
"C9","100n","C_0201_0603Metric",12.800000,21.000000,180.000000,bottom
"C10","1u","C_0201_0603Metric",8.799200,25.000000,-90.000000,bottom
"C11","1u","C_0201_0603Metric",12.800000,21.800000,180.000000,bottom
"C12","10u","C_0402_1005Metric",13.600000,25.000000,180.000000,bottom
"C13","100n","C_0201_0603Metric",18.400000,31.400000,0.000000,bottom
"C14","100n","C_0201_0603Metric",10.400000,32.200000,180.000000,bottom
"C15","100n","C_0201_0603Metric",12.799800,29.000000,180.000000,bottom
"C16","100n","C_0201_0603Metric",9.600000,29.000000,180.000000,bottom
"C17","100n","C_0201_0603Metric",16.000000,28.200000,90.000000,bottom
"C18","100n","C_0201_0603Metric",12.800000,28.200000,180.000000,bottom
"C19","100n","C_0201_0603Metric",5.600000,27.400000,0.000000,bottom
"C20","100n","C_0201_0603Metric",8.800000,26.600000,90.000000,bottom
"C21","100n","C_0201_0603Metric",19.200000,25.000000,-90.000000,bottom
"C22","100n","C_0201_0603Metric",16.000000,25.000000,-90.000000,bottom
"C23","100n","C_0201_0603Metric",8.400000,23.800000,0.000000,bottom
"C24","100n","C_0201_0603Metric",8.400000,23.000000,0.000000,bottom
"C25","100n","C_0201_0603Metric",16.000000,21.800000,-90.000000,bottom
"C26","100n","C_0201_0603Metric",11.200000,21.800000,0.000000,bottom
"C27","100n","C_0201_0603Metric",9.600000,20.200000,0.000000,bottom
"C28","100n","C_0201_0603Metric",16.000000,20.200000,90.000000,bottom
"C29","100n","C_0201_0603Metric",14.400000,19.400000,0.000000,bottom
"C30","100n","C_0201_0603Metric",19.200000,18.600000,-90.000000,bottom
"C31","100n","C_0201_0603Metric",4.800000,17.800000,180.000000,bottom
"C32","1u","C_0201_0603Metric",9.600000,28.200000,180.000000,bottom
"C33","1u","C_0201_0603Metric",16.800000,25.000000,-90.000000,bottom
"C34","1u","C_0201_0603Metric",9.600000,21.000000,0.000000,bottom
"C35","1u","C_0201_0603Metric",14.400000,20.200000,0.000000,bottom
"C36","10u","C_0402_1005Metric",14.500000,28.200000,0.000000,bottom
"C37","100n","C_0201_0603Metric",8.000000,27.400000,-90.000000,bottom
"C38","100n","C_0201_0603Metric",8.000000,29.000000,90.000000,bottom
"C39","1u","C_0201_0603Metric",7.200000,27.400000,-90.000000,bottom
"C41","100n","C_0201_0603Metric",8.800000,32.200000,0.000000,bottom
"C42","100n","C_0201_0603Metric",4.800000,32.200000,180.000000,bottom
"C43","1u","C_0201_0603Metric",4.800000,29.000000,-90.000000,bottom
"C46","4.7n","C_0402_1005Metric",6.500000,49.000000,0.000000,bottom
"C54","4.7n","C_0402_1005Metric",-3.500000,49.000000,0.000000,bottom
"C56","4.7n","C_0402_1005Metric",-13.400000,49.000000,0.000000,bottom
"C57","100n","C_0201_0603Metric",8.400000,30.680000,-90.000000,bottom
"C58","100n","C_0201_0603Metric",6.800000,31.320000,90.000000,bottom
